Timestamp,Building,Camera,Zone,Event,Confidence,Person
2026-07-03 04:54:00,Building_A,CAM-03,HR Office,Person Entering,93,EMP_036
2026-07-03 10:26:00,Building_A,CAM-10,SOC,Person Entering,86,EMP_036
2026-07-03 18:44:00,Building_A,CAM-13,Server Room,Door Open,83,EMP_015
2026-07-03 13:40:00,Building_B,CAM-03,Main Entrance,Door Open,80,EMP_028
2026-07-03 19:37:00,Building_B,CAM-08,HR Office,Door Open,84,EMP_036
2026-07-03 03:10:00,Building_B,CAM-12,Emergency Exit,Door Open,92,EMP_025
2026-07-03 02:58:00,Building_B,CAM-13,Reception,Employee Walking,97,EMP_012
2026-07-03 07:25:00,Building_A,CAM-11,Loading Dock,Door Open,95,EMP_011
2026-07-03 16:24:00,Building_A,CAM-10,Main Entrance,Person Entering,81,SOC_ANALYST
2026-07-03 13:19:00,Building_B,CAM-02,SOC,Door Open,95,EMP_045
2026-07-03 05:38:00,Building_C,CAM-04,Finance Office,Person Entering,89,EMP_045
2026-07-03 21:30:00,Building_C,CAM-03,Reception,Person Entering,99,EMP_016
2026-07-03 12:21:00,Building_C,CAM-04,Emergency Exit,Person Entering,81,EMP_012
2026-07-03 18:14:00,Building_B,CAM-13,Finance Office,Person Entering,98,EMP_032
2026-07-03 11:32:00,Building_B,CAM-11,Server Room,Person Entering,99,EMP_050
2026-07-03 16:37:00,Building_B,CAM-04,Reception,Door Open,81,NETWORK_ADMIN
2026-07-03 22:53:00,Building_A,CAM-12,Main Entrance,Employee Walking,88,EMP_045
2026-07-03 03:36:00,Building_A,CAM-10,Main Entrance,Employee Walking,87,EMP_037
2026-07-03 20:51:00,Building_B,CAM-11,Finance Office,Door Open,81,EMP_008
2026-07-03 13:37:00,Building_B,CAM-09,HR Office,Employee Walking,84,EMP_027
2026-07-03 09:22:00,Building_B,CAM-06,Emergency Exit,Door Open,88,EMP_037
2026-07-03 22:45:00,Building_B,CAM-10,Loading Dock,Door Open,95,EMP_003
2026-07-03 09:42:00,Building_C,CAM-10,Server Room,Person Entering,82,EMP_044
2026-07-03 20:04:00,Building_A,CAM-08,Server Room,Door Open,89,EMP_044
2026-07-03 10:13:00,Building_A,CAM-09,Main Entrance,Person Entering,96,EMP_043
2026-07-03 18:08:00,Building_C,CAM-09,Server Room,Employee Walking,83,EMP_024
2026-07-03 03:41:00,Building_C,CAM-11,Main Entrance,Person Entering,82,EMP_020
2026-07-03 22:54:00,Building_B,CAM-07,SOC,Person Entering,89,EMP_025
2026-07-03 12:31:00,Building_C,CAM-08,Server Room,Person Entering,96,EMP_046
2026-07-03 18:56:00,Building_B,CAM-14,HR Office,Person Entering,93,EMP_035
2026-07-03 13:56:00,Building_B,CAM-13,HR Office,Door Open,100,EMP_044
2026-07-03 01:54:00,Building_A,CAM-06,Finance Office,Person Entering,95,EMP_049
2026-07-03 19:37:00,Building_C,CAM-02,Reception,Employee Walking,87,EMP_004
2026-07-03 05:24:00,Building_C,CAM-11,Reception,Door Open,100,EMP_031
2026-07-03 00:49:00,Building_B,CAM-04,Server Room,Door Open,86,EMP_024
2026-07-03 11:26:00,Building_A,CAM-15,SOC,Employee Walking,85,EMP_028
2026-07-03 21:24:00,Building_C,CAM-10,Server Room,Employee Walking,85,EMP_010
2026-07-03 08:38:00,Building_A,CAM-09,Finance Office,Employee Walking,85,EMP_015
2026-07-03 10:16:00,Building_B,CAM-05,Loading Dock,Employee Walking,95,EMP_021
2026-07-03 15:12:00,Building_C,CAM-04,HR Office,Person Entering,90,EMP_045
2026-07-03 19:22:00,Building_B,CAM-10,Emergency Exit,Door Open,95,EMP_049
2026-07-03 14:20:00,Building_C,CAM-06,Server Room,Person Entering,96,EMP_034
2026-07-03 18:52:00,Building_B,CAM-13,Reception,Employee Walking,92,EMP_049
2026-07-03 05:12:00,Building_A,CAM-01,Reception,Person Entering,97,BACKUP_ADMIN
2026-07-03 01:28:00,Building_B,CAM-07,Main Entrance,Employee Walking,98,EMP_010
2026-07-03 14:38:00,Building_A,CAM-12,Main Entrance,Employee Walking,97,EMP_029
2026-07-03 09:25:00,Building_C,CAM-15,Loading Dock,Employee Walking,100,EMP_036
2026-07-03 20:09:00,Building_A,CAM-05,HR Office,Employee Walking,93,EMP_004
2026-07-03 23:05:00,Building_A,CAM-15,Reception,Employee Walking,89,EMP_013
2026-07-03 22:49:00,Building_A,CAM-12,Server Room,Person Entering,97,EMP_028
2026-07-03 20:02:00,Building_A,CAM-14,Emergency Exit,Door Open,92,EMP_029
2026-07-03 16:43:00,Building_C,CAM-06,Loading Dock,Employee Walking,83,EMP_014
2026-07-03 06:40:00,Building_A,CAM-11,Main Entrance,Person Entering,93,EMP_005
2026-07-03 07:49:00,Building_B,CAM-11,Main Entrance,Person Entering,93,EMP_011
2026-07-03 19:35:00,Building_A,CAM-02,Reception,Employee Walking,89,EMP_027
