Timestamp,User,Action,Account_Status,Privilege,MFA,Risk
2026-07-03 01:58:00,EMP_011,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 11:39:00,EMP_005,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 02:37:00,EMP_029,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 23:06:00,EMP_008,MFA Challenge,Active,User,Disabled,Low
2026-07-03 08:13:00,EMP_020,Database Access,Active,Administrator,Enabled,Low
2026-07-03 03:51:00,SERVICE_SQL,VPN Login,Active,Power User,Enabled,Low
2026-07-03 15:28:00,EMP_012,Database Access,Active,Power User,Disabled,Low
2026-07-03 18:31:00,EMP_036,Password Change,Active,User,Disabled,Low
2026-07-03 02:06:00,EMP_038,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 05:54:00,EMP_046,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 09:27:00,EMP_015,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 11:34:00,EMP_046,Login,Active,Power User,Enabled,Low
2026-07-03 15:24:00,EMP_014,Password Change,Active,Power User,Enabled,Low
2026-07-03 05:51:00,EMP_014,VPN Login,Active,User,Disabled,Low
2026-07-03 15:19:00,EMP_029,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 04:02:00,EMP_031,Login,Active,User,Disabled,Low
2026-07-03 23:10:00,EMP_021,Login,Active,Administrator,Disabled,Low
2026-07-03 20:38:00,EMP_049,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 07:54:00,EMP_037,MFA Challenge,Active,User,Disabled,Low
2026-07-03 08:06:00,EMP_036,VPN Login,Active,Power User,Disabled,Low
2026-07-03 03:21:00,EMP_041,Password Change,Active,Administrator,Enabled,Low
2026-07-03 17:23:00,EMP_031,Database Access,Active,Administrator,Disabled,Low
2026-07-03 08:39:00,EMP_023,Password Change,Active,Power User,Enabled,Low
2026-07-03 05:10:00,EMP_040,MFA Challenge,Active,User,Disabled,Low
2026-07-03 12:21:00,EMP_018,VPN Login,Active,Power User,Disabled,Low
2026-07-03 11:12:00,EMP_010,Password Change,Active,Administrator,Disabled,Low
2026-07-03 22:58:00,EMP_033,Password Change,Active,User,Enabled,Low
2026-07-03 18:58:00,EMP_007,VPN Login,Active,User,Enabled,Low
