Timestamp,Alert_ID,Severity,MITRE,Description,Status,Assigned_To
2026-07-03 16:07:00,AL0001,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 06:50:00,AL0002,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 19:42:00,AL0003,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 10:15:00,AL0004,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 20:27:00,AL0005,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 03:40:00,AL0006,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 13:52:00,AL0007,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 18:09:00,AL0008,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 15:48:00,AL0009,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 14:08:00,AL0010,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 04:20:00,AL0011,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 06:24:00,AL0012,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 21:04:00,AL0013,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 18:58:00,AL0014,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 10:50:00,AL0015,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 21:07:00,AL0016,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 06:22:00,AL0017,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 09:32:00,AL0018,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 14:09:00,AL0019,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 11:48:00,AL0020,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 20:34:00,AL0021,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 16:35:00,AL0022,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 19:16:00,AL0023,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 15:16:00,AL0024,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 22:58:00,AL0025,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 20:23:00,AL0026,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 07:47:00,AL0027,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 08:32:00,AL0028,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 18:40:00,AL0029,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 02:57:00,AL0030,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 05:50:00,AL0031,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 05:49:00,AL0032,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 18:43:00,AL0033,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 14:33:00,AL0034,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 15:25:00,AL0035,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 20:37:00,AL0036,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 04:48:00,AL0037,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 07:50:00,AL0038,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 20:11:00,AL0039,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 01:39:00,AL0040,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 05:26:00,AL0041,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 21:10:00,AL0042,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 14:56:00,AL0043,High,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 05:52:00,AL0044,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 12:10:00,AL0045,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 03:19:00,AL0046,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 13:38:00,AL0047,Medium,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 20:28:00,AL0048,Low,,Routine Security Event,Closed,SOC_ANALYST
2026-07-03 01:45:00,AL0049,Medium,,Routine Security Event,Closed,SOC_ANALYST
