Timestamp,Source_IP,Destination_IP,Protocol,Port,Bytes,Packets,Action,Event
2026-07-03 13:38:00,10.20.1.203,10.20.1.108,UDP,80,22992,435,Allowed,Normal Traffic
2026-07-03 14:57:00,10.20.5.110,10.20.1.159,TCP,445,30596,121,Allowed,Normal Traffic
2026-07-03 06:46:00,10.20.2.53,10.20.4.179,UDP,80,17117,410,Allowed,DNS Query
2026-07-03 12:41:00,10.20.5.43,10.20.2.142,TCP,443,34884,26,Allowed,Web Access
2026-07-03 01:23:00,10.20.3.165,10.20.5.61,UDP,80,12904,444,Allowed,DNS Query
2026-07-03 09:57:00,10.20.3.113,10.20.4.142,UDP,22,13976,63,Allowed,Web Access
2026-07-03 12:31:00,10.20.3.212,10.20.2.248,ICMP,80,48283,213,Allowed,DNS Query
2026-07-03 04:25:00,10.20.1.143,10.20.5.251,ICMP,443,2010,418,Allowed,Web Access
2026-07-03 00:47:00,10.20.3.55,10.20.3.82,TCP,445,24296,461,Allowed,Web Access
2026-07-03 19:34:00,10.20.1.42,10.20.3.79,ICMP,443,12646,146,Allowed,Web Access
2026-07-03 22:59:00,10.20.4.29,10.20.4.131,UDP,22,40645,153,Allowed,DNS Query
2026-07-03 08:15:00,10.20.5.154,10.20.3.16,ICMP,3389,26047,365,Allowed,Web Access
2026-07-03 20:22:00,10.20.2.79,10.20.3.185,UDP,445,12839,342,Allowed,Web Access
2026-07-03 17:06:00,10.20.5.78,10.20.5.115,UDP,22,31808,118,Allowed,DNS Query
2026-07-03 14:45:00,10.20.3.217,10.20.2.88,ICMP,443,24162,344,Allowed,Web Access
2026-07-03 19:11:00,10.20.5.72,10.20.4.174,UDP,22,12878,192,Allowed,Web Access
2026-07-03 14:17:00,10.20.5.98,10.20.1.128,TCP,445,15263,127,Allowed,DNS Query
2026-07-03 14:21:00,10.20.4.112,10.20.4.71,UDP,443,9625,96,Allowed,Web Access
2026-07-03 08:58:00,10.20.2.249,10.20.2.218,UDP,445,31469,136,Allowed,Web Access
2026-07-03 08:26:00,10.20.5.181,10.20.4.243,UDP,3389,26161,158,Allowed,DNS Query
2026-07-03 19:31:00,10.20.2.21,10.20.5.16,ICMP,22,17203,38,Allowed,Normal Traffic
2026-07-03 11:10:00,10.20.5.241,10.20.2.103,UDP,445,39965,393,Allowed,DNS Query
2026-07-03 01:14:00,10.20.5.179,10.20.1.105,TCP,443,27492,470,Allowed,Normal Traffic
2026-07-03 20:49:00,10.20.3.88,10.20.4.157,UDP,22,3779,438,Allowed,Web Access
2026-07-03 19:43:00,10.20.1.95,10.20.5.208,TCP,3389,47244,115,Allowed,DNS Query
2026-07-03 11:22:00,10.20.5.214,10.20.3.54,ICMP,22,25144,51,Allowed,Normal Traffic
2026-07-03 15:38:00,10.20.4.175,10.20.5.38,TCP,443,30721,230,Allowed,Web Access
2026-07-03 19:30:00,10.20.5.219,10.20.1.249,TCP,3389,19312,337,Allowed,DNS Query
2026-07-03 18:09:00,10.20.4.170,10.20.5.149,ICMP,445,938,455,Allowed,DNS Query
2026-07-03 11:48:00,10.20.2.142,10.20.5.101,TCP,445,20262,208,Allowed,Web Access
2026-07-03 04:15:00,10.20.4.154,10.20.1.103,TCP,443,19127,192,Allowed,DNS Query
2026-07-03 09:05:00,10.20.2.102,10.20.1.101,ICMP,80,32767,60,Allowed,DNS Query
2026-07-03 23:59:00,10.20.5.133,10.20.2.239,ICMP,445,23206,188,Allowed,Normal Traffic
2026-07-03 01:28:00,10.20.4.144,10.20.3.50,UDP,443,6752,199,Allowed,DNS Query
2026-07-03 03:34:00,10.20.1.125,10.20.2.126,TCP,443,22269,461,Allowed,DNS Query
2026-07-03 19:39:00,10.20.2.41,10.20.2.166,ICMP,445,12742,181,Allowed,Normal Traffic
2026-07-03 17:52:00,10.20.4.29,10.20.1.19,ICMP,445,25346,181,Allowed,Web Access
2026-07-03 18:26:00,10.20.4.13,10.20.3.8,TCP,22,25803,388,Allowed,DNS Query
2026-07-03 00:51:00,10.20.3.39,10.20.1.188,ICMP,80,3873,479,Allowed,Web Access
2026-07-03 15:49:00,10.20.4.9,10.20.1.162,UDP,3389,21725,12,Allowed,Normal Traffic
2026-07-03 18:38:00,10.20.3.42,10.20.4.171,UDP,3389,15456,66,Allowed,Normal Traffic
2026-07-03 04:31:00,10.20.4.2,10.20.1.144,UDP,3389,38821,265,Allowed,Normal Traffic
2026-07-03 00:51:00,10.20.4.72,10.20.4.165,ICMP,80,25424,419,Allowed,Normal Traffic
2026-07-03 05:25:00,10.20.3.68,10.20.3.158,ICMP,3389,2408,272,Allowed,Web Access
2026-07-03 08:30:00,10.20.2.217,10.20.3.114,UDP,80,43774,73,Allowed,Normal Traffic
2026-07-03 00:05:00,10.20.5.77,10.20.2.198,TCP,3389,46895,214,Allowed,Web Access
2026-07-03 13:35:00,10.20.2.28,10.20.3.165,UDP,443,39693,431,Allowed,Normal Traffic
2026-07-03 05:00:00,10.20.3.67,10.20.5.97,TCP,445,18247,321,Allowed,Web Access
2026-07-03 06:03:00,10.20.3.157,10.20.5.229,UDP,80,39386,233,Allowed,DNS Query
2026-07-03 11:18:00,10.20.4.109,10.20.2.120,ICMP,445,21438,125,Allowed,Web Access
2026-07-03 17:54:00,10.20.3.32,10.20.1.195,ICMP,443,22385,285,Allowed,DNS Query
2026-07-03 13:49:00,10.20.1.40,10.20.2.170,TCP,80,8478,424,Allowed,DNS Query
2026-07-03 19:34:00,10.20.4.87,10.20.5.101,TCP,80,37553,417,Allowed,DNS Query
2026-07-03 15:18:00,10.20.3.51,10.20.1.222,TCP,80,49750,209,Allowed,Normal Traffic
2026-07-03 12:16:00,10.20.2.92,10.20.4.250,TCP,22,20551,179,Allowed,Normal Traffic
2026-07-03 07:48:00,10.20.4.130,10.20.4.9,TCP,443,30696,453,Allowed,Web Access
2026-07-03 05:19:00,10.20.2.137,10.20.4.34,ICMP,443,37454,481,Allowed,DNS Query
2026-07-03 02:44:00,10.20.5.28,10.20.2.17,ICMP,22,7790,23,Allowed,Normal Traffic
2026-07-03 00:22:00,10.20.3.77,10.20.4.87,UDP,80,43470,329,Allowed,DNS Query
2026-07-03 11:57:00,10.20.2.14,10.20.4.59,TCP,22,41206,379,Allowed,DNS Query
