Timestamp,Employee_ID,Building,Door,Badge_Type,Access_Result,Camera,Reader_ID
2026-07-03 09:23:00,EMP_041,Building_A,SOC,HID SEOS,Success,CAM-12,RD-04
2026-07-03 18:36:00,EMP_044,Building_A,Loading Dock,HID SEOS,Success,CAM-01,RD-03
2026-07-03 20:32:00,EMP_014,Building_A,SOC,HID SEOS,Failed,CAM-04,RD-15
2026-07-03 00:13:00,EMP_038,Building_A,Loading Dock,HID SEOS,Success,CAM-05,RD-05
2026-07-03 11:29:00,EMP_014,Building_A,Reception,HID SEOS,Failed,CAM-02,RD-12
2026-07-03 01:28:00,EMP_023,Building_C,Emergency Exit,HID SEOS,Success,CAM-15,RD-13
2026-07-03 21:27:00,EMP_006,Building_C,HR Office,HID SEOS,Success,CAM-12,RD-03
2026-07-03 09:52:00,EMP_003,Building_A,SOC,HID SEOS,Success,CAM-07,RD-09
2026-07-03 12:27:00,EMP_030,Building_A,HR Office,HID SEOS,Success,CAM-04,RD-09
2026-07-03 22:07:00,EMP_045,Building_A,Server Room,HID SEOS,Success,CAM-03,RD-15
2026-07-03 21:50:00,EMP_025,Building_C,SOC,HID SEOS,Success,CAM-14,RD-02
2026-07-03 10:46:00,EMP_015,Building_B,Finance Office,HID SEOS,Success,CAM-04,RD-19
2026-07-03 22:22:00,EMP_046,Building_B,Loading Dock,HID SEOS,Failed,CAM-03,RD-09
2026-07-03 19:09:00,EMP_009,Building_C,Finance Office,HID SEOS,Failed,CAM-15,RD-19
2026-07-03 04:43:00,EMP_026,Building_C,Emergency Exit,HID SEOS,Success,CAM-13,RD-02
2026-07-03 05:27:00,EMP_008,Building_C,Loading Dock,HID SEOS,Success,CAM-07,RD-13
2026-07-03 18:03:00,EMP_039,Building_B,Main Entrance,HID SEOS,Success,CAM-11,RD-18
2026-07-03 21:52:00,EMP_049,Building_B,Reception,HID SEOS,Success,CAM-07,RD-06
2026-07-03 08:59:00,ATTACKER_9999,Building_C,Server Room,Cloned Badge,Success,CAM-14,RD-10
2026-07-03 20:47:00,BACKUP_ADMIN,Building_A,Server Room,HID SEOS,Success,CAM-13,RD-06
2026-07-03 18:06:00,EMP_035,Building_A,HR Office,HID SEOS,Failed,CAM-01,RD-04
2026-07-03 10:29:00,EMP_024,Building_A,Main Entrance,HID SEOS,Success,CAM-15,RD-19
2026-07-03 16:35:00,EMP_006,Building_A,Server Room,HID SEOS,Success,CAM-11,RD-16
2026-07-03 18:00:00,EMP_036,Building_C,Loading Dock,HID SEOS,Success,CAM-15,RD-18
