Timestamp,Hostname,User,Source_IP,Destination_IP,Command,Status,MITRE_Technique,Process
2026-07-03 01:42:00,LINUX-SRV03,EMP_002,10.20.4.175,10.20.4.22,ps,Success,,bash
2026-07-03 04:36:00,DC01,EMP_030,10.20.4.82,10.20.2.173,df,Success,,cron
2026-07-03 08:50:00,WIN-SRV01,EMP_022,10.20.1.179,10.20.4.25,ls,Success,,cron
2026-07-03 20:09:00,DC02,EMP_027,10.20.1.227,10.20.3.199,cat /var/log/auth.log,Success,,bash
2026-07-03 03:56:00,DC02,EMP_042,10.20.3.148,10.20.2.146,pwd,Success,,bash
2026-07-03 10:04:00,WIN-SRV02,EMP_002,10.20.5.38,10.20.2.232,df,Success,,systemd
2026-07-03 18:49:00,BACKUP01,EMP_027,10.20.4.103,10.20.1.105,ps,Success,,bash
2026-07-03 18:16:00,SQL-HR01,EMP_008,10.20.4.10,10.20.1.24,ls,Success,,cron
2026-07-03 02:02:00,DC01,EMP_011,10.20.2.114,10.20.5.235,cat /var/log/auth.log,Success,,systemd
2026-07-03 10:58:00,SQL-HR01,EMP_026,10.20.4.229,10.20.1.156,top,Success,,systemd
2026-07-03 05:38:00,BACKUP01,EMP_031,10.20.1.49,10.20.3.18,cat /var/log/auth.log,Success,,bash
2026-07-03 14:16:00,SQL-HR01,EMP_035,10.20.1.119,10.20.4.250,ps,Success,,cron
2026-07-03 21:55:00,WIN-SRV01,EMP_043,10.20.4.39,10.20.4.44,top,Success,,cron
2026-07-03 00:58:00,SQL-FIN01,SOC_ANALYST,10.20.2.89,10.20.5.178,pwd,Success,,bash
2026-07-03 04:00:00,SQL-HR01,EMP_011,10.20.1.170,10.20.1.8,df,Success,,cron
2026-07-03 03:41:00,LINUX-SRV03,EMP_039,10.20.5.221,10.20.5.135,pwd,Success,,cron
2026-07-03 09:19:00,DC02,SERVICE_SQL,10.20.4.25,10.20.2.176,ls,Success,,bash
2026-07-03 06:29:00,SQL-HR01,EMP_001,10.20.5.7,10.20.4.120,cat /var/log/auth.log,Success,,bash
2026-07-03 20:08:00,LINUX-SRV02,EMP_004,10.20.2.15,10.20.3.184,top,Success,,cron
2026-07-03 07:50:00,DC02,EMP_038,10.20.4.156,10.20.3.156,ps,Success,,bash
2026-07-03 22:26:00,WIN-SRV02,EMP_034,10.20.3.64,10.20.3.186,top,Success,,systemd
2026-07-03 03:52:00,BACKUP01,EMP_035,10.20.4.99,10.20.2.212,pwd,Success,,cron
2026-07-03 01:36:00,LINUX-SRV01,EMP_044,10.20.2.223,10.20.4.60,ps,Success,,bash
2026-07-03 23:16:00,SQL-HR01,EMP_030,10.20.4.239,10.20.1.133,ls,Success,,systemd
2026-07-03 23:43:00,DC02,EMP_005,10.20.1.241,10.20.4.127,df,Success,,bash
2026-07-03 14:34:00,DC02,EMP_014,10.20.2.106,10.20.1.75,cat /var/log/auth.log,Success,,cron
2026-07-03 13:32:00,WIN-SRV02,EMP_020,10.20.3.247,10.20.3.115,top,Success,,bash
2026-07-03 02:06:00,LINUX-SRV01,EMP_005,10.20.2.254,10.20.4.222,ps,Success,,cron
2026-07-03 15:08:00,WIN-SRV02,EMP_039,10.20.2.122,10.20.3.114,ls,Success,,systemd
2026-07-03 20:19:00,LINUX-SRV02,EMP_034,10.20.2.96,10.20.3.34,df,Success,,bash
2026-07-03 13:50:00,SQL-HR01,EMP_044,10.20.2.201,10.20.5.210,ps,Success,,cron
2026-07-03 09:24:00,DC01,EMP_017,10.20.3.3,10.20.1.171,cat /var/log/auth.log,Success,,systemd
2026-07-03 22:04:00,SQL-FIN01,EMP_036,10.20.4.135,10.20.3.237,df,Success,,bash
2026-07-03 05:27:00,SQL-HR01,EMP_029,10.20.3.85,10.20.2.224,df,Success,,bash
2026-07-03 05:05:00,WIN-SRV02,BACKUP_ADMIN,10.20.1.209,10.20.2.49,ls,Success,,cron
2026-07-03 19:55:00,LINUX-SRV02,EMP_048,10.20.2.42,10.20.5.73,pwd,Success,,cron
2026-07-03 03:35:00,SQL-HR01,EMP_029,10.20.1.28,10.20.1.39,cat /var/log/auth.log,Success,,bash
2026-07-03 10:11:00,LINUX-SRV02,EMP_037,10.20.3.170,10.20.2.173,cat /var/log/auth.log,Success,,cron
2026-07-03 02:06:00,BACKUP01,EMP_004,10.20.3.11,10.20.1.114,ps,Success,,cron
2026-07-03 21:17:00,LINUX-SRV02,EMP_017,10.20.5.45,10.20.5.52,pwd,Success,,systemd
2026-07-03 12:37:00,LINUX-SRV02,EMP_037,10.20.1.2,10.20.5.184,ps,Success,,cron
2026-07-03 15:24:00,LINUX-SRV01,BACKUP_ADMIN,10.20.2.228,10.20.3.160,ls,Success,,bash
2026-07-03 14:08:00,BACKUP01,EMP_049,10.20.5.58,10.20.3.185,ps,Success,,cron
2026-07-03 15:27:00,DC01,EMP_036,10.20.4.37,10.20.5.245,ps,Success,,systemd
2026-07-03 13:17:00,DC01,EMP_048,10.20.5.54,10.20.1.178,ps,Success,,bash
2026-07-03 16:34:00,DC02,EMP_008,10.20.2.19,10.20.5.180,cat /var/log/auth.log,Success,,bash
2026-07-03 20:36:00,LINUX-SRV01,EMP_031,10.20.1.104,10.20.5.167,top,Success,,systemd
2026-07-03 06:03:00,DC02,EMP_019,10.20.4.244,10.20.2.78,top,Success,,cron
